,Species,"(0, 'go', 'reviewed')","(1, 'automatic', 'reviewed')","(1, 'manual', 'reviewed')"
0,Abiotrophia defectiva,1,0,0
1,Acaryochloris marina,271,102,0
2,Acetivibrio thermocellus,285,96,0
3,Acetoanaerobium sticklandii,25,0,0
4,Acetobacterium woodii,17,0,0
5,Acetohalobium arabaticum,1,0,0
6,Acholeplasma laidlawii,115,100,0
7,Acholeplasma sp,3,0,0
8,Acidaminococcus fermentans,13,0,0
9,Acidaminococcus sp.,0,2,0
10,Acidimicrobium ferrooxidans,7,2,0
11,Acidothermus cellulolyticus,168,90,0
12,Actinomadura kijaniata,1,0,0
13,Actinomadura sp.,1,0,0
14,Actinomyces naeslundii,4,2,0
15,Actinomyces sp,2,0,0
16,Actinomyces viscosus,1,0,0
17,Actinomycete sp.,2,0,0
18,Actinomycetospora chiangmaiensis,1,0,0
19,Actinoplanes garbadinensis,1,0,0
20,Actinoplanes missouriensis,4,0,0
21,Actinoplanes sp.,10,0,0
22,Actinoplanes teichomyceticus,2,0,0
23,Actinoplanes utahensis,1,0,0
24,Actinopolyspora halophila,1,0,0
25,Actinopolyspora mzabensis,1,0,0
26,Actinosynnema mirum,10,0,0
27,Actinosynnema pretiosum,1,0,0
28,Aerococcus urinae,1,0,0
29,Aerococcus viridans,1,0,0
30,Aeromicrobium erythreum,0,2,0
31,Agathobacter rectalis,95,52,0
32,Agromyces mediolanus,1,0,0
33,Agromyces sp.,2,0,0
34,Alder yellows,0,2,0
35,Alicyclobacillus acidocaldarius,9,0,0
36,Alicyclobacillus acidoterrestris,0,2,0
37,Alkalicoccus urumqiensis,3,0,0
38,Alkalihalobacillus alcalophilus,4,0,0
39,Alkalihalophilus pseudofirmus,56,0,0
40,Alkaliphilus metalliredigens,248,120,0
41,Alkaliphilus oremlandii,210,114,0
42,Allomeiothermus silvanus,1,0,0
43,Alteracholeplasma palmae,0,2,0
44,Amphibacillus xylanus,1,0,0
45,Amycolatopsis balhimycina,1,0,0
46,Amycolatopsis lactamdurans,10,0,0
47,Amycolatopsis mediterranei,13,0,0
48,Amycolatopsis methanolica,13,0,0
49,Amycolatopsis orientalis,17,0,0
50,Amycolatopsis sp,2,0,0
51,Amycolatopsis sp.,5,0,0
52,Anabaena cylindrica,6,0,0
53,Anabaena sp.,23,2,0
54,Anabaena variabilis,14,2,0
55,Anaerococcus prevotii,1,0,0
56,Anaerolinea thermophila,2,0,0
57,Anaeroplasma abactoclasticum,0,2,0
58,Anaerostipes caccae,1,0,0
59,Anaerostipes hadrus,1,0,0
60,Anaerotignum propionicum,8,0,0
61,Aneurinibacillus aneurinilyticus,3,0,0
62,Aneurinibacillus migulanus,6,0,0
63,Aneurinibacillus thermoaerophilus,8,0,0
64,Anoxybacillus flavithermus,188,80,0
65,Aphanizomenon baltica,1,0,0
66,Aphanizomenon flos-aquae,7,0,0
67,Aphanothece halophytica,6,0,0
68,Aphanothece sacrum,2,0,0
69,Apple proliferation,2,2,0
70,Arcanobacterium haemolyticum,2,0,0
71,Arthrobacter glacialis,1,0,0
72,Arthrobacter globiformis,13,0,0
73,Arthrobacter pascens,1,0,0
74,Arthrobacter ramosus,1,0,0
75,Arthrobacter sp,14,0,0
76,Arthrobacter sp.,196,84,0
77,Arthrospira platensis,18,6,0
78,Ash yellows,0,4,0
79,Aster yellows,78,108,0
80,Atelocyanobacterium thalassa,1,0,0
81,Bacillus acidopullulyticus,2,0,0
82,Bacillus altitudinis,1,0,0
83,Bacillus amyloliquefaciens,40,4,0
84,Bacillus anthracis,1403,338,1
85,Bacillus atrophaeus,6,0,0
86,Bacillus badius,2,0,0
87,Bacillus caldolyticus,22,2,0
88,Bacillus caldotenax,18,2,0
89,Bacillus caldovelox,1,0,0
90,Bacillus cereus,3853,974,32
91,Bacillus cytotoxicus,376,116,0
92,Bacillus dafuensis,3,0,0
93,Bacillus intermedius,0,2,0
94,Bacillus israeli,1,0,0
95,Bacillus licheniformis,558,140,1
96,Bacillus methanolicus,5,0,0
97,Bacillus mojavensis,4,0,0
98,Bacillus mycoides,384,108,0
99,Bacillus ohbensis,1,0,0
100,Bacillus paralicheniformis,5,0,0
101,Bacillus pumilus,376,128,0
102,Bacillus safensis,1,0,0
103,Bacillus selenitireducens,3,0,0
104,Bacillus sp,13,0,0
105,Bacillus sp.,73,2,0
106,Bacillus spizizenii,30,4,0
107,Bacillus stratosphericus,1,0,0
108,Bacillus subtilis,4145,198,42
109,Bacillus thermoamyloliquefaciens,2,0,0
110,Bacillus thermoproteolyticus,2,0,0
111,Bacillus thermotolerans,3,0,0
112,Bacillus thuringiensis,986,226,3
113,Bacillus vallismortis,1,0,0
114,Bacillus velezensis,438,133,0
115,Beutenbergia cavernae,101,62,0
116,Bifidobacterium adolescentis,145,90,0
117,Bifidobacterium animalis,118,70,0
118,Bifidobacterium bifidum,2,0,0
119,Bifidobacterium breve,4,0,0
120,Bifidobacterium dentium,3,0,0
121,Bifidobacterium longum,559,290,0
122,Blautia hansenii,1,0,0
123,Blautia hydrogenotrophica,2,0,0
124,Brachybacterium faecium,6,0,0
125,Brevibacillus brevis,219,88,0
126,Brevibacillus choshinensis,9,0,0
127,Brevibacillus laterosporus,1,0,0
128,Brevibacillus parabrevis,9,0,0
129,Brevibacterium epidermidis,1,0,0
130,Brevibacterium helvolum,1,0,0
131,Brevibacterium linens,4,0,0
132,Brevibacterium sterolicum,1,0,0
133,Brochothrix thermosphacta,1,0,0
134,Butyribacterium methylotrophicum,2,0,0
135,Butyrivibrio fibrisolvens,15,0,0
136,Caldalkalibacillus mannanilyticus,1,0,0
137,Caldalkalibacillus thermarum,1,0,0
138,Caldanaerobacter subterraneus,383,140,0
139,Caldicellulosiruptor bescii,169,82,0
140,Caldicellulosiruptor owensensis,1,0,0
141,Caldicellulosiruptor saccharolyticus,209,106,0
142,Caldicellulosiruptor sp.,6,0,0
143,Caloramator mitchellensis,1,0,0
144,Carboxydothermus hydrogenoformans,291,122,0
145,Carnobacterium divergens,1,0,0
146,Carnobacterium maltaromaticum,9,0,0
147,Carnobacterium sp.,2,0,0
148,Catenibacterium mitsuokai,1,0,0
149,Catenulispora acidiphila,15,0,0
150,Cellulomonas fimi,10,0,0
151,Cellulomonas flavigena,3,0,0
152,Cellulomonas sp,1,0,0
153,Cellulomonas uda,1,0,0
154,Cellulosimicrobium cellulans,2,0,0
155,Chamaesiphon minutus,1,0,0
156,Chlorante-Aster yellows,1,0,0
157,Chloroflexus aggregans,151,70,0
158,Chloroflexus aurantiacus,350,132,20
159,Chlorogloeopsis fritschii,2,0,0
160,Chthonomonas calidirosea,1,0,0
161,Clavibacter michiganensis,301,128,0
162,Clostridioides difficile,283,108,0
163,Clostridioides mangenotii,1,0,0
164,Clostridium acetobutylicum,492,140,0
165,Clostridium acidurici,1,0,0
166,Clostridium aminobutyricum,1,0,0
167,Clostridium beijerinckii,274,108,0
168,Clostridium botulinum,2120,898,23
169,Clostridium butyricum,8,0,0
170,Clostridium cellulovorans,5,0,0
171,Clostridium cochlearium,2,0,0
172,Clostridium cylindrosporum,1,0,0
173,Clostridium haemolyticum,1,0,0
174,Clostridium innocuum,1,0,0
175,Clostridium kluyveri,401,196,0
176,Clostridium ljungdahlii,6,0,0
177,Clostridium longisporum,3,0,0
178,Clostridium novyi,253,116,0
179,Clostridium paradoxum,3,0,0
180,Clostridium pasteurianum,65,0,0
181,Clostridium perfringens,1003,376,0
182,Clostridium saccharobutylicum,7,0,0
183,Clostridium sardiniense,2,0,0
184,Clostridium scatologenes,3,0,0
185,Clostridium scindens,11,0,0
186,Clostridium septicum,1,0,0
187,Clostridium sp,1,0,0
188,Clostridium sp.,10,0,0
189,Clostridium sporogenes,13,0,0
190,Clostridium subterminale,1,0,0
191,Clostridium symbiosum,2,2,0
192,Clostridium tetani,285,100,0
193,Clostridium tetanomorphum,5,0,0
194,Clostridium tyrobutyricum,2,0,0
195,Clover proliferation,0,4,0
196,Clover yellow,0,4,0
197,Cohnella laeviribosi,1,0,0
198,Collinsella aerofaciens,1,0,0
199,Conexibacter woesei,4,0,0
200,Corynebacterium ammoniagenes,17,2,0
201,Corynebacterium amycolatum,1,0,0
202,Corynebacterium aurimucosum,124,72,0
203,Corynebacterium diphtheriae,281,118,1
204,Corynebacterium efficiens,352,112,1
205,Corynebacterium flavescens,2,0,0
206,Corynebacterium glutamicum,747,210,1
207,Corynebacterium jeikeium,220,108,1
208,Corynebacterium kroppenstedtii,91,72,0
209,Corynebacterium lipophiloflavum,1,0,0
210,Corynebacterium melassecola,7,2,0
211,Corynebacterium nephridii,3,0,0
212,Corynebacterium pseudotuberculosis,6,0,0
213,Corynebacterium resistens,1,0,0
214,Corynebacterium sp.,13,0,0
215,Corynebacterium striatum,6,0,0
216,Corynebacterium ulcerans,1,0,0
217,Corynebacterium urealyticum,112,78,0
218,Crocosphaera subtropica,203,72,0
219,Cutibacterium acnes,248,116,0
220,Cyanothece sp.,203,62,0
221,Cytobacillus firmus,8,0,0
222,Dactylococcopsis salina,5,0,0
223,Dehalobacter restrictus,2,0,0
224,Dehalococcoides mccartyi,523,324,0
225,Dehalogenimonas lykanthroporepellens,2,0,0
226,Deinococcus deserti,131,76,0
227,Deinococcus geothermalis,208,108,0
228,Deinococcus proteolyticus,2,0,0
229,Deinococcus radiodurans,437,126,29
230,Desmonostoc muscorum,4,0,0
231,Desmonostoc sp.,4,0,0
232,Desulfitobacterium hafniense,472,194,0
233,Desulfofundulus thermocisternus,2,0,0
234,Desulfonispora thiosulfatigenes,1,0,0
235,Desulforamulus reducens,232,106,0
236,Desulforudis audaxviator,155,96,0
237,Dietzia sp.,3,0,0
238,Dolichospermum flosaquae,6,0,0
239,Eggerthella lenta,9,0,0
240,Elm witches'-broom,0,2,0
241,Elm yellows,0,4,0
242,Enterocloster bolteae,2,0,0
243,Enterococcus avium,1,0,0
244,Enterococcus casseliflavus,3,0,0
245,Enterococcus faecalis,441,142,0
246,Enterococcus faecium,32,2,0
247,Enterococcus gallinarum,6,0,0
248,Enterococcus hirae,40,2,0
249,Enterococcus italicus,2,10,0
250,Enterococcus mundtii,3,0,0
251,Enterococcus sp,1,0,0
252,Enterococcus sp.,1,0,0
253,Enterococcus thailandicus,2,0,0
254,Erysipelothrix rhusiopathiae,3,0,0
255,Eubacterium barkeri,12,0,0
256,Eubacterium cellulosolvens,1,0,0
257,Eubacterium limosum,7,0,0
258,Eubacterium oxidoreducens,1,0,0
259,Eubacterium ramulus,1,0,0
260,Evansella cellulosilytica,5,0,0
261,Exiguobacterium acetylicum,1,0,0
262,Exiguobacterium sibiricum,243,94,0
263,Exiguobacterium sp.,183,74,0
264,Faecalibacterium duncaniae,1,0,0
265,Ferdinandcohnia aciditolerans,2,0,0
266,Filifactor alocis,1,0,0
267,Finegoldia magna,129,86,0
268,Fischerella ambigua,3,0,0
269,Fischerella muscicola,3,0,0
270,Flavonifractor plautii,2,0,0
271,Frankia alni,184,76,0
272,Frankia casuarinae,216,96,0
273,Frankia sp.,140,80,0
274,Fructilactobacillus sanfranciscensis,20,2,0
275,Gardnerella vaginalis,1,0,0
276,Geminocystis herdmanii,2,0,0
277,Geobacillus genomosp.,3,0,0
278,Geobacillus kaustophilus,445,138,1
279,Geobacillus sp.,290,120,0
280,Geobacillus stearothermophilus,218,74,2
281,Geobacillus thermodenitrificans,361,122,0
282,Geobacillus thermoleovorans,1,0,0
283,Geobacillus thermopakistaniensis,1,0,0
284,Geodermatophilus obscurus,10,0,0
285,Gloeobacter violaceus,383,82,23
286,Gloeothece citriformis,230,82,0
287,Gloeothece membranacea,1,0,0
288,Glutamicibacter nicotianae,1,0,0
289,Glutamicibacter uratoxydans,1,0,0
290,Gordonia bronchialis,10,0,0
291,Gordonia rubripertincta,1,0,0
292,Gordonia sp.,7,0,0
293,Gottschalkia acidurici,1,0,0
294,Gottschalkia purinilytica,2,0,0
295,Halalkalibacter akibai,1,0,0
296,Halalkalibacterium halodurans,668,152,0
297,Halanaerobium praevalens,1,0,0
298,Halobacillus aidingensis,1,0,0
299,Halobacillus andaensis,1,0,0
300,Halobacillus dabanensis,1,0,0
301,Halobacillus halophilus,3,0,0
302,Halothece sp.,3,0,0
303,Halothermothrix orenii,142,72,0
304,Haploplasma axanthum,0,2,0
305,Hathewaya histolytica,8,0,0
306,Hathewaya limosa,1,0,0
307,Heliobacterium chlorum,1,0,0
308,Heliobacterium mobile,15,2,0
309,Heliobacterium modesticaldum,176,90,0
310,Heliomicrobium gestii,3,0,0
311,Herbinix hemicellulosilytica,0,2,0
312,Herpetosiphon aurantiacus,181,70,0
313,Heyndrickxia coagulans,10,2,0
314,Hydrogenibacillus schlegelii,1,0,0
315,Ilumatobacter coccineus,1,0,0
316,Intrasporangium calvum,2,0,0
317,Jonesia denitrificans,7,0,0
318,Kibdelosporangium aridum,1,0,0
319,Kineococcus radiotolerans,156,86,0
320,Kitasatospora aureofaciens,19,8,0
321,Kitasatospora griseola,6,0,0
322,Kitasatospora kifunensis,1,0,0
323,Kitasatospora setae,2,0,0
324,Kocuria rhizophila,119,72,0
325,Kocuria rosea,1,0,0
326,Kocuria sp.,1,0,0
327,Kocuria varians,1,0,0
328,Kribbella flavida,12,0,0
329,Kutzneria sp.,2,0,0
330,Kyrpidia tusciae,3,0,0
331,Kytococcus sedentarius,2,0,0
332,Laceyella sacchari,2,0,0
333,Lachnoclostridium phytofermentans,213,100,0
334,Lachnospira eligens,94,46,0
335,Lachnospiraceae bacterium,2,2,0
336,Lacrimispora saccharolytica,2,0,0
337,Lacticaseibacillus casei,239,92,0
338,Lacticaseibacillus paracasei,238,102,0
339,Lacticaseibacillus rhamnosus,14,0,0
340,Lacticaseibacillus zeae,2,0,0
341,Lactiplantibacillus pentosus,9,0,0
342,Lactiplantibacillus plantarum,435,134,0
343,Lactobacillus acidophilus,235,110,0
344,Lactobacillus amylovorus,1,0,0
345,Lactobacillus crispatus,1,0,0
346,Lactobacillus delbrueckii,398,202,0
347,Lactobacillus gasseri,172,88,0
348,Lactobacillus helveticus,209,98,0
349,Lactobacillus jensenii,1,0,0
350,Lactobacillus johnsonii,242,110,0
351,Lactobacillus kefiranofaciens,2,0,0
