0,1,Label,Entry Name,Annotation,Species
0.99901366,0.0009863277,-1,XBS28394.1,Unavailable,Clostridium autoethanogenum
0.999292,0.00070790126,-1,XBS28396.1,Unavailable,Clostridium autoethanogenum
0.99936205,0.0006379781,-1,XBS30420.1,Unavailable,Clostridium autoethanogenum
0.99855286,0.0014471799,-1,XBS28410.1,Unavailable,Clostridium autoethanogenum
0.9992167,0.0007832991,-1,XBS28393.1,Unavailable,Clostridium autoethanogenum
0.99912137,0.00087862025,-1,XBS28395.1,Unavailable,Clostridium autoethanogenum
0.9973579,0.002642018,-1,XBS28398.1,Unavailable,Clostridium autoethanogenum
0.99941933,0.00058074726,-1,XBS28392.1,Unavailable,Clostridium autoethanogenum
0.9989748,0.0010252249,-1,XBS28401.1,Unavailable,Clostridium autoethanogenum
0.98163396,0.018366074,-1,XBS28408.1,Unavailable,Clostridium autoethanogenum
0.99951077,0.0004891937,-1,XBS28407.1,Unavailable,Clostridium autoethanogenum
0.99905866,0.0009413716,-1,XBS28406.1,Unavailable,Clostridium autoethanogenum
0.9996464,0.00035356983,-1,XBS28409.1,Unavailable,Clostridium autoethanogenum
0.999413,0.0005869406,-1,XBS28397.1,Unavailable,Clostridium autoethanogenum
0.9991441,0.0008559471,-1,XBS28400.1,Unavailable,Clostridium autoethanogenum
0.99917525,0.00082468044,-1,XBS28399.1,Unavailable,Clostridium autoethanogenum
0.9989317,0.0010682751,-1,XBS28404.1,Unavailable,Clostridium autoethanogenum
0.9991309,0.0008690936,-1,XBS28411.1,Unavailable,Clostridium autoethanogenum
0.99946636,0.0005336775,-1,XBS28391.1,Unavailable,Clostridium autoethanogenum
0.9985083,0.0014916549,-1,XBS28405.1,Unavailable,Clostridium autoethanogenum
0.99957556,0.00042445303,-1,XBS28403.1,Unavailable,Clostridium autoethanogenum
0.99928564,0.0007144006,-1,XBS28390.1,Unavailable,Clostridium autoethanogenum
0.9978017,0.0021983196,-1,XBS28389.1,Unavailable,Clostridium autoethanogenum
0.9984201,0.0015798337,-1,XBS28402.1,Unavailable,Clostridium autoethanogenum
0.9993606,0.00063940306,-1,XBS30421.1,Unavailable,Clostridium autoethanogenum
0.9990963,0.0009036899,-1,XBS28422.1,Unavailable,Clostridium autoethanogenum
0.99888843,0.0011115865,-1,XBS28425.1,Unavailable,Clostridium autoethanogenum
0.9994435,0.0005565603,-1,XBS28436.1,Unavailable,Clostridium autoethanogenum
0.9993537,0.00064632524,-1,XBS28421.1,Unavailable,Clostridium autoethanogenum
0.999223,0.00077699084,-1,XBS28428.1,Unavailable,Clostridium autoethanogenum
0.9985916,0.001408372,-1,XBS28431.1,Unavailable,Clostridium autoethanogenum
0.9992593,0.0007406611,-1,XBS28416.1,Unavailable,Clostridium autoethanogenum
0.99761224,0.0023877667,-1,XBS28435.1,Unavailable,Clostridium autoethanogenum
0.99942386,0.0005761744,-1,XBS28429.1,Unavailable,Clostridium autoethanogenum
0.9993488,0.0006511428,-1,XBS28430.1,Unavailable,Clostridium autoethanogenum
0.99898595,0.0010140825,-1,XBS28423.1,Unavailable,Clostridium autoethanogenum
0.9972851,0.0027149208,-1,XBS28413.1,Unavailable,Clostridium autoethanogenum
0.99892265,0.0010772977,-1,XBS28434.1,Unavailable,Clostridium autoethanogenum
0.99964094,0.00035906796,-1,XBS28433.1,Unavailable,Clostridium autoethanogenum
0.9981487,0.0018513252,-1,XBS28427.1,Unavailable,Clostridium autoethanogenum
0.9996056,0.00039442818,-1,XBS28426.1,Unavailable,Clostridium autoethanogenum
0.9986394,0.0013605442,-1,XBS28432.1,Unavailable,Clostridium autoethanogenum
0.9991774,0.00082259084,-1,XBS28419.1,Unavailable,Clostridium autoethanogenum
0.99853206,0.0014679042,-1,XBS28415.1,Unavailable,Clostridium autoethanogenum
0.9989767,0.0010233739,-1,XBS28424.1,Unavailable,Clostridium autoethanogenum
0.9974468,0.0025532867,-1,XBS28418.1,Unavailable,Clostridium autoethanogenum
0.99837494,0.0016250173,-1,XBS28414.1,Unavailable,Clostridium autoethanogenum
0.99886286,0.0011371098,-1,XBS28417.1,Unavailable,Clostridium autoethanogenum
0.99810106,0.0018989795,-1,XBS28412.1,Unavailable,Clostridium autoethanogenum
0.998858,0.001142074,-1,XBS28420.1,Unavailable,Clostridium autoethanogenum
0.99931574,0.0006842949,-1,XBS28459.1,Unavailable,Clostridium autoethanogenum
0.99908257,0.0009173842,-1,XBS28438.1,Unavailable,Clostridium autoethanogenum
0.9995326,0.0004674913,-1,XBS28443.1,Unavailable,Clostridium autoethanogenum
0.9970517,0.0029482092,-1,XBS28437.1,Unavailable,Clostridium autoethanogenum
0.99894315,0.0010568827,-1,XBS28447.1,Unavailable,Clostridium autoethanogenum
0.9991528,0.0008471809,-1,XBS28448.1,Unavailable,Clostridium autoethanogenum
0.9991347,0.0008652633,-1,XBS28439.1,Unavailable,Clostridium autoethanogenum
0.9992656,0.000734437,-1,XBS28455.1,Unavailable,Clostridium autoethanogenum
0.99907804,0.00092193583,-1,XBS28457.1,Unavailable,Clostridium autoethanogenum
0.99854183,0.0014582165,-1,XBS28460.1,Unavailable,Clostridium autoethanogenum
0.9994012,0.0005987857,-1,XBS28440.1,Unavailable,Clostridium autoethanogenum
0.9988757,0.0011243256,-1,XBS28461.1,Unavailable,Clostridium autoethanogenum
0.99796474,0.002035303,-1,XBS28456.1,Unavailable,Clostridium autoethanogenum
0.9987827,0.0012173342,-1,XBS28445.1,Unavailable,Clostridium autoethanogenum
0.9987889,0.0012111356,-1,XBS28441.1,Unavailable,Clostridium autoethanogenum
0.99915373,0.00084621884,-1,XBS28451.1,Unavailable,Clostridium autoethanogenum
